#{"t_start": 1747916898.2736607, "env_id": "None"}
r,l,t
-1.7,500,1250.519586
-1.7,500,1251.607488
-0.8,500,1252.573452
-1.5,500,1253.519378
-1.6,500,1254.57132
-1.2,500,1255.568183
-1.3,500,1256.549134
-2.0,500,1257.493977
0.0,500,1257.842169
0.0,500,1258.184975
0.0,500,1258.525779
0.0,500,1259.116449
0.0,500,1259.699299
-1.3,500,1261.096177
-1.3,500,1262.268563
-1.4,500,1263.823199
-1.0,500,1264.970569
-1.2,500,1266.023534
-1.7,500,1267.193428
-1.6,500,1268.406283
-0.9,500,1269.592623
-1.0,500,1271.109797
-1.4,500,1272.264923
-0.9,500,1273.285082
-1.5,500,1274.821238
-1.4,500,1276.413339
-1.1,500,1277.508259
-0.7,500,1278.622139
-1.1,500,1279.646524
-1.4,500,1281.19058
-1.5,500,1282.647351
-0.9,500,1283.633312
-0.9,500,1284.631283
0.0,500,1284.954108
0.0,500,1285.258536
0.0,500,1285.574362
0.0,500,1285.88501
0.0,500,1286.283776
-1.3,500,1287.506841
-1.1,500,1288.565245
